,symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km
0,3,122,88.6,168.8,64.1,0.8160535117056856,2548,130,3.47,3.2582999999999998,9.0,104,5125.9900990099,21,8.703703703703704,13205.69,11.19047619047619
1,1,122,94.5,171.2,65.5,0.8762541806020067,2823,152,2.68,3.2582999999999998,9.0,104,5125.9900990099,19,9.038461538461538,13205.69,12.368421052631579
2,2,164,99.8,176.6,66.2,0.9080267558528428,2337,109,3.19,3.2582999999999998,10.0,104,5125.9900990099,24,7.833333333333333,13205.69,9.791666666666666
3,2,164,99.4,176.6,66.4,0.9080267558528428,2824,136,3.19,3.2582999999999998,8.0,104,5125.9900990099,18,10.681818181818182,13205.69,13.055555555555555
4,2,122,99.8,177.3,66.3,0.8879598662207359,2507,136,3.19,3.2582999999999998,8.5,104,5125.9900990099,19,9.4,13205.69,12.368421052631579
5,1,158,105.8,192.7,71.4,0.931438127090301,2844,136,3.19,3.2582999999999998,8.5,104,5125.9900990099,19,9.4,13205.69,12.368421052631579
6,1,122,105.8,192.7,71.4,0.931438127090301,2954,136,3.19,3.2582999999999998,8.5,104,5125.9900990099,19,9.4,13205.69,12.368421052631579
7,1,158,105.8,192.7,71.4,0.9347826086956522,3086,131,3.13,3.2582999999999998,8.3,104,5125.9900990099,17,11.75,13205.69,13.823529411764707
8,0,122,99.5,178.2,67.9,0.8695652173913044,3053,131,3.13,3.2582999999999998,7.0,104,5125.9900990099,16,10.681818181818182,13205.69,14.6875
9,2,192,101.2,176.8,64.8,0.9080267558528428,2395,108,3.5,3.2582999999999998,8.8,104,5125.9900990099,23,8.10344827586207,13205.69,10.217391304347826
10,0,192,101.2,176.8,64.8,0.9080267558528428,2395,108,3.5,3.2582999999999998,8.8,104,5125.9900990099,23,8.10344827586207,13205.69,10.217391304347826
11,0,188,101.2,176.8,64.8,0.9080267558528428,2710,164,3.31,3.2582999999999998,9.0,104,5125.9900990099,21,8.392857142857142,13205.69,11.19047619047619
12,0,188,101.2,176.8,64.8,0.9080267558528428,2765,164,3.31,3.2582999999999998,9.0,104,5125.9900990099,21,8.392857142857142,13205.69,11.19047619047619
13,1,122,103.5,189.0,66.9,0.931438127090301,3055,164,3.31,3.2582999999999998,9.0,104,5125.9900990099,20,9.4,13205.69,11.75
14,0,122,103.5,189.0,66.9,0.931438127090301,3230,209,3.62,3.2582999999999998,8.0,104,5125.9900990099,16,10.681818181818182,13205.69,14.6875
15,0,122,103.5,193.8,67.9,0.8979933110367894,3380,209,3.62,3.2582999999999998,8.0,104,5125.9900990099,16,10.681818181818182,13205.69,14.6875
16,0,122,110.0,197.0,70.9,0.9414715719063546,3505,209,3.62,3.2582999999999998,8.0,104,5125.9900990099,15,11.75,13205.69,15.666666666666666
17,2,121,88.4,141.1,60.3,0.8896321070234114,1488,61,2.91,3.2582999999999998,9.5,104,5125.9900990099,47,4.433962264150943,13205.69,5.0
